LOCATION,TIME,Value,Energy_Level
5,1960,4436.932,0
5,1961,4490.51,0
5,1962,4407.097,0
5,1963,4628.738,0
5,1964,4497.396,0
5,1965,4716.131,0
5,1966,4445.378,0
5,1967,4574.63,0
5,1968,4472.375,0
5,1969,4525.867,0
5,1970,4303.981,0
5,1971,4553.489,0
5,1972,4622.984,0
5,1973,4508.661,0
5,1974,4816.063,0
5,1975,4962.457,0
5,1976,5015.497,1
5,1977,4853.343,0
5,1978,4882.381,0
5,1979,4880.427,0
5,1980,4745.184,0
5,1981,5062.69,1
5,1982,5172.905,1
5,1983,5005.976,1
5,1984,4911.968,0
5,1985,5165.209,1
5,1986,4728.9,0
5,1987,4700.334,0
5,1988,4809.335,0
5,1989,4981.233,0
5,1990,5073.658,1
5,1991,5192.295,1
5,1992,4727.618,0
5,1993,5482.017,1
5,1994,5381.648,1
5,1995,5530.849,1
5,1996,6108.649,1
5,1997,6398.393,1
5,1998,6183.919,1
5,1999,6268.567,1
5,2000,6352.883,1
5,2001,6477.826,1
5,2002,6755.041,1
5,2003,6625.788,1
5,2004,6529.279,1
5,2005,6461.722,1
5,2006,6651.906,1
5,2007,6874.019,1
5,2008,7055.723,1
5,2009,5619.582,1
5,2010,7017.954,1
5,2011,7059.598,1
5,2012,7030.684,1
5,2013,7861.615,1
5,2014,8179.381,1
5,2015,8544.65,1
6,1960,1750.228,0
6,1961,1642.233,0
6,1962,1685.592,0
6,1963,1733.326,0
6,1964,1695.127,0
6,1965,1951.579,0
6,1966,2154.894,0
6,1967,2139.244,0
6,1968,2132.281,0
6,1969,2000.615,0
6,1970,2453.307,0
6,1971,2067.624,0
6,1972,2088.126,0
6,1973,2329.067,0
6,1974,2608.936,0
6,1975,2724.833,0
6,1976,2444.1,0
6,1977,2838.851,0
6,1978,2948.436,0
6,1979,3408.616,0
6,1980,3607.444,0
6,1981,3878.841,0
6,1982,4031.541,0
6,1983,4026.493,0
6,1984,4111.207,0
6,1985,4443.659,0
6,1986,4718.876,0
6,1987,5278.122,1
6,1988,6233.458,1
6,1989,5719.845,1
6,1990,5037.746,1
6,1991,5247.697,1
6,1992,5489.606,1
6,1993,5780.526,1
6,1994,5607.538,1
6,1995,5890.79,1
6,1996,5839.294,1
6,1997,5902.844,1
6,1998,5944.726,1
6,1999,6644.652,1
6,2000,6574.092,1
6,2001,6659.53,1
6,2002,6482.028,1
6,2003,6029.468,1
6,2004,6450.235,1
6,2005,6991.06,1
6,2006,7389.508,1
6,2007,7987.259,1
6,2008,8434.376,1
6,2009,8787.653,1
6,2010,9183.37,1
6,2011,8692.225,1
6,2012,9784.986,1
6,2013,9946.889,1
6,2014,9789.299,1
6,2015,9594.934,1
8,1960,14.792,0
8,1961,16.254,0
8,1962,14.018,0
8,1963,12.384,0
8,1964,9.89,0
8,1965,23.392,0
8,1966,25.714,0
8,1967,20.468,0
8,1968,20.984,0
8,1969,19.78,0
8,1970,21.156,0
8,1971,11.524,0
8,1972,15.48,0
8,1973,23.327,0
8,1974,37.165,0
8,1975,34.842,0
8,1976,27.38,0
8,1977,62.367,0
8,1978,86.185,0
8,1979,92.695,0
8,1980,81.292,0
8,1981,88.765,0
8,1982,37.139,0
8,1983,39.929,0
8,1984,42.843,0
8,1985,50.234,0
8,1986,76.279,0
8,1987,92.167,0
8,1988,98.116,0
8,1989,287.698,0
8,1990,481.09,0
8,1991,486.758,0
8,1992,482.65,0
8,1993,408.576,0
8,1994,405.305,0
8,1995,527.907,0
8,1996,527.022,0
8,1997,518.798,0
8,1998,570.005,0
8,1999,606.143,0
8,2000,637.912,0
8,2001,703.587,0
8,2002,711.475,0
8,2003,867.142,0
8,2004,965.675,0
8,2005,1156.089,0
8,2006,1364.637,0
8,2007,1680.629,0
8,2008,2010.484,0
8,2009,2394.319,0
8,2010,2801.874,0
8,2011,3094.246,0
8,2012,3350.106,0
8,2013,3475.045,0
8,2014,3358.313,0
8,2015,3321.576,0
19,1960,13240.44,1
19,1961,13102.465,1
19,1962,13096.348,1
19,1963,13084.669,1
19,1964,13866.123,1
19,1965,13956.977,1
19,1966,15208.946,1
19,1967,16054.401,1
19,1968,17067.359,1
19,1969,18876.535,1
19,1970,21116.776,2
19,1971,21595.336,2
19,1972,23227.331,2
19,1973,24554.377,2
19,1974,25844.93,2
19,1975,23633.757,2
19,1976,24618.308,2
19,1977,25328.518,2
19,1978,27155.587,2
19,1979,28104.389,2
19,1980,29245.797,2
19,1981,30163.174,2
19,1982,29376.494,2
19,1983,30822.933,2
19,1984,32579.126,2
19,1985,34590.269,2
19,1986,35577.573,2
19,1987,36148.655,2
19,1988,35367.646,2
19,1989,33665.906,2
19,1990,36329.706,2
19,1991,37306.237,2
19,1992,38082.852,2
19,1993,38748.054,2
19,1994,40753.214,2
19,1995,41664.646,2
19,1996,42692.852,2
19,1997,42320.624,2
19,1998,41412.852,2
19,1999,43273.483,2
19,2000,44584.865,2
19,2001,41480.846,2
19,2002,44151.049,2
19,2003,42825.267,2
19,2004,44202.529,2
19,2005,45302.306,2
19,2006,43953.275,2
19,2007,45610.448,2
19,2008,45694.691,2
19,2009,44707.856,2
19,2010,43558.807,2
19,2011,47404.662,2
19,2012,47839.948,2
19,2013,50203.582,2
19,2014,50127.037,2
19,2015,49703.237,2
31,1971,103.888,0
31,1972,108.704,0
31,1973,92.966,0
31,1974,156.434,0
31,1975,156.004,0
31,1976,124.356,0
31,1977,169.162,0
31,1978,157.38,0
31,1979,197.198,0
31,1980,206.314,0
31,1981,177.246,0
31,1982,143.62,0
31,1983,142.33,0
31,1984,111.628,0
31,1985,143.706,0
31,1986,161.336,0
31,1987,211.99,0
31,1988,180.514,0
31,1989,141.298,0
31,1990,917.689,0
31,1991,742.712,0
31,1992,1200.283,0
31,1993,1218.914,0
31,1994,1341.292,0
31,1995,1200.52,0
31,1996,1217.479,0
31,1997,1302.295,0
31,1998,1383.387,0
31,1999,1427.528,0
31,2000,1341.059,0
31,2001,1480.835,0
31,2002,1568.277,0
31,2003,1534.556,0
31,2004,1735.679,0
31,2005,1782.901,0
31,2006,1929.878,0
31,2007,2140.67,0
31,2008,2208.451,0
31,2009,2426.205,0
31,2010,2779.939,0
31,2011,2991.489,0
31,2012,3206.652,0
31,2013,3573.07,0
31,2014,3633.485,0
31,2015,3571.81,0
33,1960,2.15,0
33,1961,2.236,0
33,1962,2.236,0
33,1963,2.15,0
33,1964,2.15,0
33,1965,2.15,0
33,1966,2.236,0
33,1967,2.15,0
33,1968,1.806,0
33,1969,1.892,0
33,1970,319.668,0
33,1971,329.22,0
33,1972,307.418,0
33,1973,307.418,0
33,1974,307.418,0
33,1975,321.173,0
33,1976,339.249,0
33,1977,340.2,0
33,1978,377.176,0
33,1979,469.233,0
33,1980,586.245,0
33,1981,704.782,0
33,1982,758.335,0
33,1983,793.764,0
33,1984,833.768,0
33,1985,858.455,0
33,1986,933.021,0
33,1987,1067.056,0
33,1988,1076.665,0
33,1989,1091.034,0
33,1990,1031.464,0
33,1991,1125.514,0
33,1992,1192.138,0
33,1993,1245.788,0
33,1994,1241.574,0
33,1995,1298.27,0
33,1996,1374.458,0
33,1997,1477.394,0
33,1998,1546.399,0
33,1999,1628.247,0
33,2000,1796.534,0
33,2001,1952.019,0
33,2002,2092.844,0
33,2003,2411.779,0
33,2004,2666.578,0
33,2005,2839.199,0
33,2006,2888.68,0
33,2007,3204.896,0
33,2008,3247.022,0
33,2009,3300.266,0
33,2010,3918.737,0
33,2011,4000.281,0
33,2012,4182.927,0
33,2013,4328.815,0
33,2014,4434.427,0
33,2015,4542.163,0
43,1960,5262.805,1
43,1961,5471.757,1
43,1962,5534.121,1
43,1963,5366.529,1
43,1964,5362.917,1
43,1965,5420.472,1
43,1966,5443.004,1
43,1967,5402.468,1
43,1968,5184.431,1
43,1969,5012.358,1
43,1970,4974.4,0
43,1971,4962.155,0
43,1972,4853.912,0
43,1973,4845.756,0
43,1974,4943.555,0
43,1975,4215.452,0
43,1976,3976.585,0
43,1977,4124.966,0
43,1978,4062.854,0
43,1979,4340.49,0
43,1980,4341.988,0
43,1981,4749.926,0
43,1982,4518.511,0
43,1983,4903.534,0
43,1984,5151.808,1
43,1985,4777.799,0
43,1986,4805.253,0
43,1987,5154.725,1
43,1988,5081.103,1
43,1989,5370.991,1
43,1990,5489.462,1
43,1991,5316.321,1
43,1992,5380.289,1
43,1993,5652.101,1
43,1994,5796.077,1
43,1995,6127.358,1
43,1996,6161.401,1
43,1997,6743.746,1
43,1998,7245.937,1
43,1999,7254.653,1
43,2000,7749.747,1
43,2001,7482.01,1
43,2002,7784.576,1
43,2003,7837.049,1
43,2004,8668.037,1
43,2005,8084.691,1
43,2006,8689.405,1
43,2007,8655.596,1
43,2008,9141.087,1
43,2009,8051.038,1
43,2010,9342.488,1
43,2011,9142.629,1
43,2012,9989.338,1
43,2013,9910.681,1
43,2014,10153.316,1
43,2015,10472.371,1
44,1960,3516.282,0
44,1961,3329.748,0
44,1962,3118.446,0
44,1963,3784.86,0
44,1964,3027.2,0
44,1965,4031.25,0
44,1966,4488.942,0
44,1967,3919.622,0
44,1968,4371.724,0
44,1969,4592.142,0
44,1970,14281.443,1
44,1971,13665.281,1
44,1972,13780.431,1
44,1973,13937.392,1
44,1974,13727.55,1
44,1975,14393.805,1
44,1976,13015.28,1
44,1977,15545.643,1
44,1978,15142.929,1
44,1979,15262.52,1
44,1980,14680.527,1
44,1981,14617.099,1
44,1982,14664.325,1
44,1983,15495.747,1
44,1984,15368.792,1
44,1985,16273.101,1
44,1986,16069.829,1
44,1987,17307.198,1
44,1988,17117.64,1
44,1989,14385.51,1
44,1990,15223.076,1
44,1991,17143.435,1
44,1992,17813.754,1
44,1993,17052.046,1
44,1994,17238.247,1
44,1995,17033.482,1
44,1996,17227.153,1
44,1997,16164.38,1
44,1998,16013.737,1
44,1999,16520.301,1
44,2000,15735.996,1
44,2001,16583.723,1
44,2002,15011.716,1
44,2003,15456.042,1
44,2004,15713.432,1
44,2005,15667.267,1
44,2006,15309.841,1
44,2007,16533.267,1
44,2008,18599.315,1
44,2009,18744.657,1
44,2010,20796.06,2
44,2011,17902.493,1
44,2012,20616.254,2
44,2013,22875.359,2
44,2014,21304.548,2
44,2015,21533.062,2
32,1960,1034.924,0
32,1961,1025.292,0
32,1962,980.916,0
32,1963,962.684,0
32,1964,952.536,0
32,1965,1226.618,0
32,1966,1359.316,0
32,1967,1316.746,0
32,1968,1343.32,0
32,1969,1127.804,0
32,1970,4043.999,0
32,1971,3696.601,0
32,1972,3834.462,0
32,1973,3811.73,0
32,1974,4396.657,0
32,1975,4307.275,0
32,1976,4074.199,0
32,1977,4456.064,0
32,1978,4539.526,0
32,1979,4556.109,0
32,1980,5405.26,1
32,1981,5772.935,1
32,1982,6057.273,1
32,1983,5959.083,1
32,1984,6280.396,1
32,1985,6255.101,1
32,1986,5417.348,1
32,1987,5370.302,1
32,1988,5689.189,1
32,1989,5370.886,1
32,1990,5312.972,1
32,1991,5068.97,1
32,1992,5365.315,1
32,1993,5478.495,1
32,1994,5777.532,1
32,1995,5976.451,1
32,1996,6164.14,1
32,1997,7121.458,1
32,1998,7684.061,1
32,1999,7963.413,1
32,2000,8982.621,1
32,2001,9635.334,1
32,2002,10782.189,1
32,2003,12729.425,1
32,2004,14612.994,1
32,2005,17207.753,1
32,2006,20579.393,2
32,2007,23726.011,2
32,2008,23350.382,2
32,2009,24479.422,2
32,2010,27568.208,2
32,2011,29298.291,2
32,2012,32249.476,2
32,2013,33395.12,2
32,2014,35403.781,2
32,2015,38962.102,2
50,1960,39.99,0
50,1961,49.966,0
50,1962,55.556,0
50,1963,72.842,0
50,1964,67.94,0
50,1965,68.886,0
50,1966,148.78,0
50,1967,142.76,0
50,1968,117.648,0
50,1969,176.73,0
50,1970,676.595,0
50,1971,677.971,0
50,1972,680.121,0
50,1973,641.077,0
50,1974,651.741,0
50,1975,623.189,0
50,1976,611.493,0
50,1977,615.191,0
50,1978,706.867,0
50,1979,756.575,0
50,1980,742.729,0
50,1981,742.901,0
50,1982,756.145,0
50,1983,651.139,0
50,1984,696.031,0
50,1985,691.129,0
50,1986,728.109,0
50,1987,739.07,0
50,1988,703.466,0
50,1989,677.957,0
50,1990,1104.497,0
50,1991,1229.527,0
50,1992,1161.418,0
50,1993,1177.75,0
50,1994,1203.388,0
50,1995,1288.912,0
50,1996,1373.899,0
50,1997,1339.622,0
50,1998,1328.762,0
50,1999,1419.279,0
50,2000,1402.423,0
50,2001,1318.286,0
50,2002,1392.759,0
50,2003,1538.085,0
50,2004,1570.759,0
50,2005,1643.249,0
50,2006,1783.257,0
50,2007,1727.086,0
50,2008,1709.122,0
50,2009,1865.654,0
50,2010,2131.257,0
50,2011,2139.721,0
50,2012,2447.607,0
50,2013,2615.413,0
50,2014,2446.205,0
50,2015,2666.064,0
56,1965,646.458,0
56,1966,577.374,0
56,1967,585.641,0
56,1968,498.221,0
56,1969,667.377,0
56,1970,499.83,0
56,1971,550.213,0
56,1972,558.963,0
56,1973,648.455,0
56,1974,629.637,0
56,1975,479.224,0
56,1976,555.048,0
56,1977,517.255,0
56,1978,481.731,0
56,1979,558.859,0
56,1980,525.034,0
56,1981,580.213,0
56,1982,560.908,0
56,1983,560.875,0
56,1984,681.412,0
56,1985,600.396,0
56,1986,520.288,0
56,1987,529.769,0
56,1988,458.153,0
56,1989,501.122,0
56,1990,745.869,0
56,1991,796.39,0
56,1992,795.992,0
56,1993,818.244,0
56,1994,819.916,0
56,1995,868.445,0
56,1996,857.949,0
56,1997,840.239,0
56,1998,835.494,0
56,1999,843.271,0
56,2000,830.07,0
56,2001,868.216,0
56,2002,877.071,0
56,2003,905.965,0
56,2004,949.442,0
56,2005,1189.049,0
56,2006,1231.669,0
56,2007,1365.058,0
56,2008,1590.959,0
56,2009,1835.59,0
56,2010,1955.419,0
56,2011,1887.149,0
56,2012,1781.502,0
56,2013,1846.762,0
56,2014,1929.68,0
56,2015,1925.114,0
62,1960,150.857,0
62,1961,157.923,0
62,1962,170.011,0
62,1963,184.426,0
62,1964,198.932,0
62,1965,201.41,0
62,1966,222.367,0
62,1967,241.171,0
62,1968,272.651,0
62,1969,310.429,0
62,1970,394.988,0
62,1971,422.95,0
62,1972,458.871,0
62,1973,541.292,0
62,1974,530.83,0
62,1975,578.569,0
62,1976,614.933,0
62,1977,676.616,0
62,1978,709.187,0
62,1979,844.894,0
62,1980,904.105,0
62,1981,1096.287,0
62,1982,1161.586,0
62,1983,1229.884,0
62,1984,1250.893,0
62,1985,1252.467,0
62,1986,1275.971,0
62,1987,1316.087,0
62,1988,1371.745,0
62,1989,1409.711,0
62,1990,1619.829,0
62,1991,1498.351,0
62,1992,1422.001,0
62,1993,1521.409,0
62,1994,1544.225,0
62,1995,1560.88,0
62,1996,1647.471,0
62,1997,1634.447,0
62,1998,1781.905,0
62,1999,2102.617,0
62,2000,2412.743,0
62,2001,2326.214,0
62,2002,2388.563,0
62,2003,2395.434,0
62,2004,2332.55,0
62,2005,2383.363,0
62,2006,3104.939,0
62,2007,3849.305,0
62,2008,4505.603,0
62,2009,4730.17,0
62,2010,4789.947,0
62,2011,5198.508,1
62,2012,5070.123,1
62,2013,5273.097,1
62,2014,5224.478,1
62,2015,5116.035,1
59,1960,80.152,0
59,1961,63.468,0
59,1962,56.674,0
59,1963,56.33,0
59,1964,67.424,0
59,1965,80.926,0
59,1966,73.272,0
59,1967,68.542,0
59,1968,66.306,0
59,1969,50.138,0
59,1970,68.972,0
59,1971,40.076,0
59,1972,58.652,0
59,1973,55.384,0
59,1974,67.596,0
59,1975,44.806,0
59,1976,51.084,0
59,1977,64.414,0
59,1978,60.028,0
59,1979,71.036,0
59,1980,72.068,0
59,1981,74.132,0
59,1982,68.972,0
59,1983,67.424,0
59,1984,59.168,0
59,1985,71.638,0
59,1986,79.034,0
59,1987,58.566,0
59,1988,74.992,0
59,1989,59.512,0
59,1990,167.713,0
59,1991,167.747,0
59,1992,162.439,0
59,1993,160.547,0
59,1994,174.126,0
59,1995,154.585,0
59,1996,168.512,0
59,1997,180.695,0
59,1998,231.336,0
59,1999,221.634,0
59,2000,234.942,0
59,2001,233.815,0
59,2002,260.906,0
59,2003,235.018,0
59,2004,281.849,0
59,2005,365.923,0
59,2006,422.863,0
59,2007,477.258,0
59,2008,575.499,0
59,2009,663.194,0
59,2010,662.738,0
59,2011,767.121,0
59,2012,779.199,0
59,2013,840.822,0
59,2014,961.732,0
59,2015,1075.583,0
64,1960,5752.383,1
64,1961,5559.339,1
64,1962,5367.713,1
64,1963,6024.297,1
64,1964,5525.809,1
64,1965,5881.06,1
64,1966,6023.457,1
64,1967,5885.005,1
64,1968,5986.2,1
64,1969,5917.291,1
64,1970,6118.34,1
64,1971,5868.529,1
64,1972,6022.78,1
64,1973,5602.727,1
64,1974,6614.709,1
64,1975,6771.975,1
64,1976,6580.208,1
64,1977,7478.331,1
64,1978,6875.71,1
64,1979,6963.976,1
64,1980,7104.468,1
64,1981,6978.717,1
64,1982,6858.306,1
64,1983,6861.669,1
64,1984,7099.295,1
64,1985,6717.832,1
64,1986,6991.077,1
64,1987,6979.525,1
64,1988,7207.345,1
64,1989,6715.205,1
64,1990,6472.187,1
64,1991,7510.47,1
64,1992,7921.43,1
64,1993,7975.192,1
64,1994,8253.68,1
64,1995,7718.973,1
64,1996,8354.58,1
64,1997,8654.34,1
64,1998,9043.017,1
64,1999,9772.995,1
64,2000,10112.282,1
64,2001,10340.698,1
64,2002,10888.485,1
64,2003,12908.032,1
64,2004,12962.441,1
64,2005,14105.353,1
64,2006,15324.87,1
64,2007,16943.916,1
64,2008,19703.963,1
64,2009,21023.302,2
64,2010,21863.926,2
64,2011,21023.365,2
64,2012,23872.225,2
64,2013,26368.147,2
64,2014,26512.539,2
64,2015,26331.637,2
67,1960,5031.0,1
67,1961,5848.0,1
67,1962,5366.4,1
67,1963,5931.42,1
67,1964,5914.22,1
67,1965,6542.02,1
67,1966,6824.1,1
67,1967,5895.3,1
67,1968,6316.7,1
67,1969,6480.1,1
67,1970,6484.4,1
67,1971,7241.2,1
67,1972,7318.6,1
67,1973,5974.162,1
67,1974,7196.448,1
67,1975,7258.884,1
67,1976,7360.676,1
67,1977,6533.152,1
67,1978,6539.85,1
67,1979,7717.61,1
67,1980,8366.824,1
67,1981,8303.357,1
67,1982,11891.618,1
67,1983,12470.392,1
67,1984,11630.973,1
67,1985,12862.4,1
67,1986,12657.544,1
67,1987,12371.999,1
67,1988,13976.811,1
67,1989,14400.465,1
67,1990,14950.677,1
67,1991,15705.948,1
67,1992,14294.025,1
67,1993,15147.888,1
67,1994,13084.767,1
67,1995,15509.809,1
67,1996,15810.715,1
67,1997,16762.503,1
67,1998,16210.148,1
67,1999,15722.1,1
67,2000,15912.789,1
67,2001,15291.639,1
67,2002,15298.421,1
67,2003,16456.996,1
67,2004,16282.418,1
67,2005,15730.812,1
67,2006,16644.948,1
67,2007,15710.25,1
67,2008,15356.846,1
67,2009,15123.151,1
67,2010,18946.391,1
67,2011,19100.181,1
67,2012,18458.605,1
67,2013,19925.556,1
67,2014,21389.775,2
67,2015,22997.866,2
72,1971,113.52,0
72,1972,117.562,0
72,1973,110.424,0
72,1974,163.916,0
72,1975,144.738,0
72,1976,153.854,0
72,1977,119.798,0
72,1978,155.488,0
72,1979,200.208,0
72,1980,170.624,0
72,1981,232.974,0
72,1982,172.43,0
72,1983,234.178,0
72,1984,206.314,0
72,1985,314.674,0
72,1986,345.634,0
72,1987,459.584,0
72,1988,306.676,0
72,1989,394.568,0
72,1990,1006.511,0
72,1991,622.142,0
72,1992,525.038,0
72,1993,574.665,0
72,1994,373.09,0
72,1995,430.267,0
72,1996,620.413,0
72,1997,678.86,0
72,1998,822.659,0
72,1999,771.671,0
72,2000,758.014,0
72,2001,784.806,0
72,2002,815.468,0
72,2003,1006.782,0
72,2004,959.931,0
72,2005,1079.102,0
72,2006,1178.702,0
72,2007,1321.844,0
